Place_name,Score,review,Link,Addr,Lat,Lng,Phone,Subcategory
홍대입구역 3번출구 대여소,0.0,0,https://place.map.kakao.com/1392930840,서울 마포구 동교동 155-27,37.5583524242937,126.925170949906,,자전거대여소
홍대입구역 8번출구 앞 대여소,0.0,1,https://place.map.kakao.com/1045503255,서울 마포구 양화로18길 3,37.5570312704359,126.924570289339,,자전거대여소
합정역 1번출구 앞 대여소,0.0,0,https://place.map.kakao.com/440025243,서울 마포구 서교동 393-5,37.5506550936101,126.914899770522,,자전거대여소
홍대입구역 6번출구 대여소,0.0,1,https://place.map.kakao.com/1397825222,서울 마포구 동교동 193-4,37.5563687421553,126.929335839575,,자전거대여소
망원역 1번출구 앞 대여소,0.0,0,https://place.map.kakao.com/489542237,서울 마포구 월드컵로 72,37.5556562245487,126.910820624841,,자전거대여소
홍대입구역 2번출구 앞 대여소,5.0,0,https://place.map.kakao.com/157922560,서울 마포구 동교동 156-8,37.5575253317061,126.923937474349,,자전거대여소
합정역 5번출구 앞 대여소,0.0,0,https://place.map.kakao.com/1398468052,서울 마포구 서교동 427,37.5527797667787,126.918257803724,,자전거대여소
신촌역(2호선) 7번출구 앞 대여소,0.0,0,https://place.map.kakao.com/1766752063,서울 마포구 신촌로 94,37.5549944655605,126.935997574268,,자전거대여소
스타벅스(동교동) 앞 대여소,0.0,0,https://place.map.kakao.com/1267979777,서울 마포구 동교동 205-15,37.5568202128576,126.919721049024,,자전거대여소
신한은행 서교동금융센터점 앞 대여소,0.0,0,https://place.map.kakao.com/990711792,서울 마포구 서교동 449-14,37.557481116544,126.918308577518,,자전거대여소
서교동 사거리 대여소,0.0,0,https://place.map.kakao.com/366311841,서울 마포구 양화로 100,37.5527040168222,126.918683968423,,자전거대여소
아만티호텔 앞 대여소,0.0,0,https://place.map.kakao.com/1268475057,서울 마포구 서교동 445-7,37.5568124965421,126.919503760544,,자전거대여소
서교동사거리(신) 대여소,0.0,0,https://place.map.kakao.com/593404048,서울 마포구 서교동 351-1,37.5557804710668,126.920399849341,,자전거대여소
망원역 2번출구 앞 대여소,0.0,0,https://place.map.kakao.com/574657060,서울 마포구 월드컵로 65,37.5548617618262,126.910869330338,,자전거대여소
